ym,NO2_ground_mean,NO2_sat_mean
2019_01,39.581,49.302
2019_02,38.799,45.464
2019_03,38.942,34.263
2019_04,39.308,19.475
2019_05,39.323,15.982
2019_06,39.221,21.797
2019_07,38.927,15.686
2019_08,39.447,12.611
2019_09,38.779,42.251
2019_10,39.572,26.948
2019_11,39.928,44.839
2019_12,39.257,37.635
2020_01,39.653,42.501
2020_02,39.726,44.68
2020_03,39.852,42.126
2020_04,40.154,10.294
2020_05,40.208,15.326
2020_06,39.844,13.64
2020_07,39.701,12.447
2020_08,39.887,14.04
2020_09,39.364,21.875
2020_10,40.021,35.273
2020_11,40.15,36.588
2020_12,39.735,60.596
2021_01,40.311,66.58
2021_02,40.746,63.454
2021_03,40.583,58.36
2021_04,40.825,34.16
2021_05,40.515,24.794
2021_06,40.896,13.16
2021_07,40.819,16.67
2021_08,41.101,27.23
2021_09,41.026,19.366
2021_10,40.547,34.327
2021_11,40.201,63.976
2021_12,41.463,43.153
2022_01,41.761,79.555
2022_02,41.514,62.08
2022_03,41.264,54.896
2022_04,41.517,26.1
2022_05,41.492,21.277
2022_06,41.784,21.317
2022_07,41.664,19.712
2022_08,41.835,19.429
2022_09,41.87,39.49
2022_10,41.112,40.5
2022_11,41.457,59.535
2022_12,41.871,69.384
2023_01,42.121,55.634
2023_02,41.738,39.329
2023_03,42.462,54.665
2023_04,42.511,26.607
2023_05,42.373,32.701
2023_06,42.364,24.528
2023_07,42.158,17.217
2023_08,42.04,24.033
2023_09,42.477,27.111
2023_10,42.218,27.996
2023_11,42.127,38.811
2023_12,42.301,46.454
2024_01,42.95,43.461
2024_02,42.839,34.606
2024_03,42.52,32.735
2024_04,43.103,16.998
2024_05,43.08,21.851
2024_06,43.429,15.473
2024_07,43.122,12.045
2024_08,43.269,12.457
2024_09,42.768,19.321
2024_10,42.852,46.93
2024_11,42.919,36.855
2024_12,43.563,45.238
