station_id,year_month,NO2_sat
pt_1,2019_01,49.301659
pt_2,2019_01,49.301659
pt_3,2019_01,49.301659
pt_4,2019_01,49.301659
pt_5,2019_01,49.301659
pt_6,2019_01,49.301659
pt_7,2019_01,49.301659
pt_8,2019_01,49.301659
pt_9,2019_01,49.301659
pt_10,2019_01,49.301659
pt_11,2019_01,49.301659
pt_12,2019_01,49.301659
pt_13,2019_01,49.301659
pt_14,2019_01,49.301659
pt_15,2019_01,49.301659
pt_16,2019_01,49.301659
pt_17,2019_01,49.301659
pt_18,2019_01,49.301659
pt_19,2019_01,49.301659
pt_20,2019_01,49.301659
pt_21,2019_01,49.301659
pt_22,2019_01,49.301659
pt_23,2019_01,49.301659
pt_24,2019_01,49.301659
pt_25,2019_01,49.301659
pt_26,2019_01,49.301659
pt_27,2019_01,49.301659
pt_28,2019_01,49.301659
pt_29,2019_01,49.301659
pt_30,2019_01,49.301659
pt_31,2019_01,49.301659
pt_32,2019_01,49.301659
pt_33,2019_01,49.301659
pt_34,2019_01,49.301659
pt_35,2019_01,49.301659
pt_36,2019_01,49.301659
pt_37,2019_01,49.301659
pt_38,2019_01,49.301659
pt_39,2019_01,49.301659
pt_40,2019_01,49.301659
pt_41,2019_01,49.301659
pt_42,2019_01,49.301659
pt_43,2019_01,49.301659
pt_44,2019_01,49.301659
pt_45,2019_01,49.301659
pt_46,2019_01,49.301659
pt_47,2019_01,49.301659
pt_48,2019_01,49.301659
pt_49,2019_01,49.301659
pt_50,2019_01,49.301659
pt_51,2019_01,49.301659
pt_52,2019_01,49.301659
pt_53,2019_01,49.301659
pt_54,2019_01,49.301659
pt_55,2019_01,49.301659
pt_56,2019_01,49.301659
pt_57,2019_01,49.301659
pt_58,2019_01,49.301659
pt_59,2019_01,49.301659
pt_60,2019_01,49.301659
pt_61,2019_01,49.301659
pt_62,2019_01,49.301659
pt_63,2019_01,49.301659
pt_64,2019_01,49.301659
pt_65,2019_01,49.301659
pt_66,2019_01,49.301659
pt_67,2019_01,49.301659
pt_68,2019_01,49.301659
pt_69,2019_01,49.301659
pt_70,2019_01,49.301659
pt_71,2019_01,49.301659
pt_72,2019_01,49.301659
pt_1,2019_02,45.464489
pt_2,2019_02,45.464489
pt_3,2019_02,45.464489
pt_4,2019_02,45.464489
pt_5,2019_02,45.464489
pt_6,2019_02,45.464489
pt_7,2019_02,45.464489
pt_8,2019_02,45.464489
pt_9,2019_02,45.464489
pt_10,2019_02,45.464489
pt_11,2019_02,45.464489
pt_12,2019_02,45.464489
pt_13,2019_02,45.464489
pt_14,2019_02,45.464489
pt_15,2019_02,45.464489
pt_16,2019_02,45.464489
pt_17,2019_02,45.464489
pt_18,2019_02,45.464489
pt_19,2019_02,45.464489
pt_20,2019_02,45.464489
pt_21,2019_02,45.464489
pt_22,2019_02,45.464489
pt_23,2019_02,45.464489
pt_24,2019_02,45.464489
pt_25,2019_02,45.464489
pt_26,2019_02,45.464489
pt_27,2019_02,45.464489
pt_28,2019_02,45.464489
pt_29,2019_02,45.464489
pt_30,2019_02,45.464489
pt_31,2019_02,45.464489
pt_32,2019_02,45.464489
pt_33,2019_02,45.464489
pt_34,2019_02,45.464489
pt_35,2019_02,45.464489
pt_36,2019_02,45.464489
pt_37,2019_02,45.464489
pt_38,2019_02,45.464489
pt_39,2019_02,45.464489
pt_40,2019_02,45.464489
pt_41,2019_02,45.464489
pt_42,2019_02,45.464489
pt_43,2019_02,45.464489
pt_44,2019_02,45.464489
pt_45,2019_02,45.464489
pt_46,2019_02,45.464489
pt_47,2019_02,45.464489
pt_48,2019_02,45.464489
pt_49,2019_02,45.464489
pt_50,2019_02,45.464489
pt_51,2019_02,45.464489
pt_52,2019_02,45.464489
pt_53,2019_02,45.464489
pt_54,2019_02,45.464489
pt_55,2019_02,45.464489
pt_56,2019_02,45.464489
pt_57,2019_02,45.464489
pt_58,2019_02,45.464489
pt_59,2019_02,45.464489
pt_60,2019_02,45.464489
pt_61,2019_02,45.464489
pt_62,2019_02,45.464489
pt_63,2019_02,45.464489
pt_64,2019_02,45.464489
pt_65,2019_02,45.464489
pt_66,2019_02,45.464489
pt_67,2019_02,45.464489
pt_68,2019_02,45.464489
pt_69,2019_02,45.464489
pt_70,2019_02,45.464489
pt_71,2019_02,45.464489
pt_72,2019_02,45.464489
pt_1,2019_03,34.262547
pt_2,2019_03,34.262547
pt_3,2019_03,34.262547
pt_4,2019_03,34.262547
pt_5,2019_03,34.262547
pt_6,2019_03,34.262547
pt_7,2019_03,34.262547
pt_8,2019_03,34.262547
pt_9,2019_03,34.262547
pt_10,2019_03,34.262547
pt_11,2019_03,34.262547
pt_12,2019_03,34.262547
pt_13,2019_03,34.262547
pt_14,2019_03,34.262547
pt_15,2019_03,34.262547
pt_16,2019_03,34.262547
pt_17,2019_03,34.262547
pt_18,2019_03,34.262547
pt_19,2019_03,34.262547
pt_20,2019_03,34.262547
pt_21,2019_03,34.262547
pt_22,2019_03,34.262547
pt_23,2019_03,34.262547
pt_24,2019_03,34.262547
pt_25,2019_03,34.262547
pt_26,2019_03,34.262547
pt_27,2019_03,34.262547
pt_28,2019_03,34.262547
pt_29,2019_03,34.262547
pt_30,2019_03,34.262547
pt_31,2019_03,34.262547
pt_32,2019_03,34.262547
pt_33,2019_03,34.262547
pt_34,2019_03,34.262547
pt_35,2019_03,34.262547
pt_36,2019_03,34.262547
pt_37,2019_03,34.262547
pt_38,2019_03,34.262547
pt_39,2019_03,34.262547
pt_40,2019_03,34.262547
pt_41,2019_03,34.262547
pt_42,2019_03,34.262547
pt_43,2019_03,34.262547
pt_44,2019_03,34.262547
pt_45,2019_03,34.262547
pt_46,2019_03,34.262547
pt_47,2019_03,34.262547
pt_48,2019_03,34.262547
pt_49,2019_03,34.262547
pt_50,2019_03,34.262547
pt_51,2019_03,34.262547
pt_52,2019_03,34.262547
pt_53,2019_03,34.262547
pt_54,2019_03,34.262547
pt_55,2019_03,34.262547
pt_56,2019_03,34.262547
pt_57,2019_03,34.262547
pt_58,2019_03,34.262547
pt_59,2019_03,34.262547
pt_60,2019_03,34.262547
pt_61,2019_03,34.262547
pt_62,2019_03,34.262547
pt_63,2019_03,34.262547
pt_64,2019_03,34.262547
pt_65,2019_03,34.262547
pt_66,2019_03,34.262547
pt_67,2019_03,34.262547
pt_68,2019_03,34.262547
pt_69,2019_03,34.262547
pt_70,2019_03,34.262547
pt_71,2019_03,34.262547
pt_72,2019_03,34.262547
pt_1,2019_04,19.475212
pt_2,2019_04,19.475212
pt_3,2019_04,19.475212
pt_4,2019_04,19.475212
pt_5,2019_04,19.475212
pt_6,2019_04,19.475212
pt_7,2019_04,19.475212
pt_8,2019_04,19.475212
pt_9,2019_04,19.475212
pt_10,2019_04,19.475212
pt_11,2019_04,19.475212
pt_12,2019_04,19.475212
pt_13,2019_04,19.475212
pt_14,2019_04,19.475212
pt_15,2019_04,19.475212
pt_16,2019_04,19.475212
pt_17,2019_04,19.475212
pt_18,2019_04,19.475212
pt_19,2019_04,19.475212
pt_20,2019_04,19.475212
pt_21,2019_04,19.475212
pt_22,2019_04,19.475212
pt_23,2019_04,19.475212
pt_24,2019_04,19.475212
pt_25,2019_04,19.475212
pt_26,2019_04,19.475212
pt_27,2019_04,19.475212
pt_28,2019_04,19.475212
pt_29,2019_04,19.475212
pt_30,2019_04,19.475212
pt_31,2019_04,19.475212
pt_32,2019_04,19.475212
pt_33,2019_04,19.475212
pt_34,2019_04,19.475212
pt_35,2019_04,19.475212
pt_36,2019_04,19.475212
pt_37,2019_04,19.475212
pt_38,2019_04,19.475212
pt_39,2019_04,19.475212
pt_40,2019_04,19.475212
pt_41,2019_04,19.475212
pt_42,2019_04,19.475212
pt_43,2019_04,19.475212
pt_44,2019_04,19.475212
pt_45,2019_04,19.475212
pt_46,2019_04,19.475212
pt_47,2019_04,19.475212
pt_48,2019_04,19.475212
pt_49,2019_04,19.475212
pt_50,2019_04,19.475212
pt_51,2019_04,19.475212
pt_52,2019_04,19.475212
pt_53,2019_04,19.475212
pt_54,2019_04,19.475212
pt_55,2019_04,19.475212
pt_56,2019_04,19.475212
pt_57,2019_04,19.475212
pt_58,2019_04,19.475212
pt_59,2019_04,19.475212
pt_60,2019_04,19.475212
pt_61,2019_04,19.475212
pt_62,2019_04,19.475212
pt_63,2019_04,19.475212
pt_64,2019_04,19.475212
pt_65,2019_04,19.475212
pt_66,2019_04,19.475212
pt_67,2019_04,19.475212
pt_68,2019_04,19.475212
pt_69,2019_04,19.475212
pt_70,2019_04,19.475212
pt_71,2019_04,19.475212
pt_72,2019_04,19.475212
pt_1,2019_05,15.981660
pt_2,2019_05,15.981660
pt_3,2019_05,15.981660
pt_4,2019_05,15.981660
pt_5,2019_05,15.981660
pt_6,2019_05,15.981660
pt_7,2019_05,15.981660
pt_8,2019_05,15.981660
pt_9,2019_05,15.981660
pt_10,2019_05,15.981660
pt_11,2019_05,15.981660
pt_12,2019_05,15.981660
pt_13,2019_05,15.981660
pt_14,2019_05,15.981660
pt_15,2019_05,15.981660
pt_16,2019_05,15.981660
pt_17,2019_05,15.981660
pt_18,2019_05,15.981660
pt_19,2019_05,15.981660
pt_20,2019_05,15.981660
pt_21,2019_05,15.981660
pt_22,2019_05,15.981660
pt_23,2019_05,15.981660
pt_24,2019_05,15.981660
pt_25,2019_05,15.981660
pt_26,2019_05,15.981660
pt_27,2019_05,15.981660
pt_28,2019_05,15.981660
pt_29,2019_05,15.981660
pt_30,2019_05,15.981660
pt_31,2019_05,15.981660
pt_32,2019_05,15.981660
pt_33,2019_05,15.981660
pt_34,2019_05,15.981660
pt_35,2019_05,15.981660
pt_36,2019_05,15.981660
pt_37,2019_05,15.981660
pt_38,2019_05,15.981660
pt_39,2019_05,15.981660
pt_40,2019_05,15.981660
pt_41,2019_05,15.981660
pt_42,2019_05,15.981660
pt_43,2019_05,15.981660
pt_44,2019_05,15.981660
pt_45,2019_05,15.981660
pt_46,2019_05,15.981660
pt_47,2019_05,15.981660
pt_48,2019_05,15.981660
pt_49,2019_05,15.981660
pt_50,2019_05,15.981660
pt_51,2019_05,15.981660
pt_52,2019_05,15.981660
pt_53,2019_05,15.981660
pt_54,2019_05,15.981660
pt_55,2019_05,15.981660
pt_56,2019_05,15.981660
pt_57,2019_05,15.981660
pt_58,2019_05,15.981660
pt_59,2019_05,15.981660
pt_60,2019_05,15.981660
pt_61,2019_05,15.981660
pt_62,2019_05,15.981660
pt_63,2019_05,15.981660
pt_64,2019_05,15.981660
pt_65,2019_05,15.981660
pt_66,2019_05,15.981660
pt_67,2019_05,15.981660
pt_68,2019_05,15.981660
pt_69,2019_05,15.981660
pt_70,2019_05,15.981660
pt_71,2019_05,15.981660
pt_72,2019_05,15.981660
pt_1,2019_06,21.796816
pt_2,2019_06,21.796816
pt_3,2019_06,21.796816
pt_4,2019_06,21.796816
pt_5,2019_06,21.796816
pt_6,2019_06,21.796816
pt_7,2019_06,21.796816
pt_8,2019_06,21.796816
pt_9,2019_06,21.796816
pt_10,2019_06,21.796816
pt_11,2019_06,21.796816
pt_12,2019_06,21.796816
pt_13,2019_06,21.796816
pt_14,2019_06,21.796816
pt_15,2019_06,21.796816
pt_16,2019_06,21.796816
pt_17,2019_06,21.796816
pt_18,2019_06,21.796816
pt_19,2019_06,21.796816
pt_20,2019_06,21.796816
pt_21,2019_06,21.796816
pt_22,2019_06,21.796816
pt_23,2019_06,21.796816
pt_24,2019_06,21.796816
pt_25,2019_06,21.796816
pt_26,2019_06,21.796816
pt_27,2019_06,21.796816
pt_28,2019_06,21.796816
pt_29,2019_06,21.796816
pt_30,2019_06,21.796816
pt_31,2019_06,21.796816
pt_32,2019_06,21.796816
pt_33,2019_06,21.796816
pt_34,2019_06,21.796816
pt_35,2019_06,21.796816
pt_36,2019_06,21.796816
pt_37,2019_06,21.796816
pt_38,2019_06,21.796816
pt_39,2019_06,21.796816
pt_40,2019_06,21.796816
pt_41,2019_06,21.796816
pt_42,2019_06,21.796816
pt_43,2019_06,21.796816
pt_44,2019_06,21.796816
pt_45,2019_06,21.796816
pt_46,2019_06,21.796816
pt_47,2019_06,21.796816
pt_48,2019_06,21.796816
pt_49,2019_06,21.796816
pt_50,2019_06,21.796816
pt_51,2019_06,21.796816
pt_52,2019_06,21.796816
pt_53,2019_06,21.796816
pt_54,2019_06,21.796816
pt_55,2019_06,21.796816
pt_56,2019_06,21.796816
pt_57,2019_06,21.796816
pt_58,2019_06,21.796816
pt_59,2019_06,21.796816
pt_60,2019_06,21.796816
pt_61,2019_06,21.796816
pt_62,2019_06,21.796816
pt_63,2019_06,21.796816
pt_64,2019_06,21.796816
pt_65,2019_06,21.796816
pt_66,2019_06,21.796816
pt_67,2019_06,21.796816
pt_68,2019_06,21.796816
pt_69,2019_06,21.796816
pt_70,2019_06,21.796816
pt_71,2019_06,21.796816
pt_72,2019_06,21.796816
pt_1,2019_07,15.686229
pt_2,2019_07,15.686229
pt_3,2019_07,15.686229
pt_4,2019_07,15.686229
pt_5,2019_07,15.686229
pt_6,2019_07,15.686229
pt_7,2019_07,15.686229
pt_8,2019_07,15.686229
pt_9,2019_07,15.686229
pt_10,2019_07,15.686229
pt_11,2019_07,15.686229
pt_12,2019_07,15.686229
pt_13,2019_07,15.686229
pt_14,2019_07,15.686229
pt_15,2019_07,15.686229
pt_16,2019_07,15.686229
pt_17,2019_07,15.686229
pt_18,2019_07,15.686229
pt_19,2019_07,15.686229
pt_20,2019_07,15.686229
pt_21,2019_07,15.686229
pt_22,2019_07,15.686229
pt_23,2019_07,15.686229
pt_24,2019_07,15.686229
pt_25,2019_07,15.686229
pt_26,2019_07,15.686229
pt_27,2019_07,15.686229
pt_28,2019_07,15.686229
pt_29,2019_07,15.686229
pt_30,2019_07,15.686229
pt_31,2019_07,15.686229
pt_32,2019_07,15.686229
pt_33,2019_07,15.686229
pt_34,2019_07,15.686229
pt_35,2019_07,15.686229
pt_36,2019_07,15.686229
pt_37,2019_07,15.686229
pt_38,2019_07,15.686229
pt_39,2019_07,15.686229
pt_40,2019_07,15.686229
pt_41,2019_07,15.686229
pt_42,2019_07,15.686229
pt_43,2019_07,15.686229
pt_44,2019_07,15.686229
pt_45,2019_07,15.686229
pt_46,2019_07,15.686229
pt_47,2019_07,15.686229
pt_48,2019_07,15.686229
pt_49,2019_07,15.686229
pt_50,2019_07,15.686229
pt_51,2019_07,15.686229
pt_52,2019_07,15.686229
pt_53,2019_07,15.686229
pt_54,2019_07,15.686229
pt_55,2019_07,15.686229
pt_56,2019_07,15.686229
pt_57,2019_07,15.686229
pt_58,2019_07,15.686229
pt_59,2019_07,15.686229
pt_60,2019_07,15.686229
pt_61,2019_07,15.686229
pt_62,2019_07,15.686229
pt_63,2019_07,15.686229
pt_64,2019_07,15.686229
pt_65,2019_07,15.686229
pt_66,2019_07,15.686229
pt_67,2019_07,15.686229
pt_68,2019_07,15.686229
pt_69,2019_07,15.686229
pt_70,2019_07,15.686229
pt_71,2019_07,15.686229
pt_72,2019_07,15.686229
pt_1,2019_08,12.610989
pt_2,2019_08,12.610989
pt_3,2019_08,12.610989
pt_4,2019_08,12.610989
pt_5,2019_08,12.610989
pt_6,2019_08,12.610989
pt_7,2019_08,12.610989
pt_8,2019_08,12.610989
pt_9,2019_08,12.610989
pt_10,2019_08,12.610989
pt_11,2019_08,12.610989
pt_12,2019_08,12.610989
pt_13,2019_08,12.610989
pt_14,2019_08,12.610989
pt_15,2019_08,12.610989
pt_16,2019_08,12.610989
pt_17,2019_08,12.610989
pt_18,2019_08,12.610989
pt_19,2019_08,12.610989
pt_20,2019_08,12.610989
pt_21,2019_08,12.610989
pt_22,2019_08,12.610989
pt_23,2019_08,12.610989
pt_24,2019_08,12.610989
pt_25,2019_08,12.610989
pt_26,2019_08,12.610989
pt_27,2019_08,12.610989
pt_28,2019_08,12.610989
pt_29,2019_08,12.610989
pt_30,2019_08,12.610989
pt_31,2019_08,12.610989
pt_32,2019_08,12.610989
pt_33,2019_08,12.610989
pt_34,2019_08,12.610989
pt_35,2019_08,12.610989
pt_36,2019_08,12.610989
pt_37,2019_08,12.610989
pt_38,2019_08,12.610989
pt_39,2019_08,12.610989
pt_40,2019_08,12.610989
pt_41,2019_08,12.610989
pt_42,2019_08,12.610989
pt_43,2019_08,12.610989
pt_44,2019_08,12.610989
pt_45,2019_08,12.610989
pt_46,2019_08,12.610989
pt_47,2019_08,12.610989
pt_48,2019_08,12.610989
pt_49,2019_08,12.610989
pt_50,2019_08,12.610989
pt_51,2019_08,12.610989
pt_52,2019_08,12.610989
pt_53,2019_08,12.610989
pt_54,2019_08,12.610989
pt_55,2019_08,12.610989
pt_56,2019_08,12.610989
pt_57,2019_08,12.610989
pt_58,2019_08,12.610989
pt_59,2019_08,12.610989
pt_60,2019_08,12.610989
pt_61,2019_08,12.610989
pt_62,2019_08,12.610989
pt_63,2019_08,12.610989
pt_64,2019_08,12.610989
pt_65,2019_08,12.610989
pt_66,2019_08,12.610989
pt_67,2019_08,12.610989
pt_68,2019_08,12.610989
pt_69,2019_08,12.610989
pt_70,2019_08,12.610989
pt_71,2019_08,12.610989
pt_72,2019_08,12.610989
pt_1,2019_09,42.251068
pt_2,2019_09,42.251068
pt_3,2019_09,42.251068
pt_4,2019_09,42.251068
pt_5,2019_09,42.251068
pt_6,2019_09,42.251068
pt_7,2019_09,42.251068
pt_8,2019_09,42.251068
pt_9,2019_09,42.251068
pt_10,2019_09,42.251068
pt_11,2019_09,42.251068
pt_12,2019_09,42.251068
pt_13,2019_09,42.251068
pt_14,2019_09,42.251068
pt_15,2019_09,42.251068
pt_16,2019_09,42.251068
pt_17,2019_09,42.251068
pt_18,2019_09,42.251068
pt_19,2019_09,42.251068
pt_20,2019_09,42.251068
pt_21,2019_09,42.251068
pt_22,2019_09,42.251068
pt_23,2019_09,42.251068
pt_24,2019_09,42.251068
pt_25,2019_09,42.251068
pt_26,2019_09,42.251068
pt_27,2019_09,42.251068
pt_28,2019_09,42.251068
pt_29,2019_09,42.251068
pt_30,2019_09,42.251068
pt_31,2019_09,42.251068
pt_32,2019_09,42.251068
pt_33,2019_09,42.251068
pt_34,2019_09,42.251068
pt_35,2019_09,42.251068
pt_36,2019_09,42.251068
pt_37,2019_09,42.251068
pt_38,2019_09,42.251068
pt_39,2019_09,42.251068
pt_40,2019_09,42.251068
pt_41,2019_09,42.251068
pt_42,2019_09,42.251068
pt_43,2019_09,42.251068
pt_44,2019_09,42.251068
pt_45,2019_09,42.251068
pt_46,2019_09,42.251068
pt_47,2019_09,42.251068
pt_48,2019_09,42.251068
pt_49,2019_09,42.251068
pt_50,2019_09,42.251068
pt_51,2019_09,42.251068
pt_52,2019_09,42.251068
pt_53,2019_09,42.251068
pt_54,2019_09,42.251068
pt_55,2019_09,42.251068
pt_56,2019_09,42.251068
pt_57,2019_09,42.251068
pt_58,2019_09,42.251068
pt_59,2019_09,42.251068
pt_60,2019_09,42.251068
pt_61,2019_09,42.251068
pt_62,2019_09,42.251068
pt_63,2019_09,42.251068
pt_64,2019_09,42.251068
pt_65,2019_09,42.251068
pt_66,2019_09,42.251068
pt_67,2019_09,42.251068
pt_68,2019_09,42.251068
pt_69,2019_09,42.251068
pt_70,2019_09,42.251068
pt_71,2019_09,42.251068
pt_72,2019_09,42.251068
pt_1,2019_10,26.948433
pt_2,2019_10,26.948433
pt_3,2019_10,26.948433
pt_4,2019_10,26.948433
pt_5,2019_10,26.948433
pt_6,2019_10,26.948433
pt_7,2019_10,26.948433
pt_8,2019_10,26.948433
pt_9,2019_10,26.948433
pt_10,2019_10,26.948433
pt_11,2019_10,26.948433
pt_12,2019_10,26.948433
pt_13,2019_10,26.948433
pt_14,2019_10,26.948433
pt_15,2019_10,26.948433
pt_16,2019_10,26.948433
pt_17,2019_10,26.948433
pt_18,2019_10,26.948433
pt_19,2019_10,26.948433
pt_20,2019_10,26.948433
pt_21,2019_10,26.948433
pt_22,2019_10,26.948433
pt_23,2019_10,26.948433
pt_24,2019_10,26.948433
pt_25,2019_10,26.948433
pt_26,2019_10,26.948433
pt_27,2019_10,26.948433
pt_28,2019_10,26.948433
pt_29,2019_10,26.948433
pt_30,2019_10,26.948433
pt_31,2019_10,26.948433
pt_32,2019_10,26.948433
pt_33,2019_10,26.948433
pt_34,2019_10,26.948433
pt_35,2019_10,26.948433
pt_36,2019_10,26.948433
pt_37,2019_10,26.948433
pt_38,2019_10,26.948433
pt_39,2019_10,26.948433
pt_40,2019_10,26.948433
pt_41,2019_10,26.948433
pt_42,2019_10,26.948433
pt_43,2019_10,26.948433
pt_44,2019_10,26.948433
pt_45,2019_10,26.948433
pt_46,2019_10,26.948433
pt_47,2019_10,26.948433
pt_48,2019_10,26.948433
pt_49,2019_10,26.948433
pt_50,2019_10,26.948433
pt_51,2019_10,26.948433
pt_52,2019_10,26.948433
pt_53,2019_10,26.948433
pt_54,2019_10,26.948433
pt_55,2019_10,26.948433
pt_56,2019_10,26.948433
pt_57,2019_10,26.948433
pt_58,2019_10,26.948433
pt_59,2019_10,26.948433
pt_60,2019_10,26.948433
pt_61,2019_10,26.948433
pt_62,2019_10,26.948433
pt_63,2019_10,26.948433
pt_64,2019_10,26.948433
pt_65,2019_10,26.948433
pt_66,2019_10,26.948433
pt_67,2019_10,26.948433
pt_68,2019_10,26.948433
pt_69,2019_10,26.948433
pt_70,2019_10,26.948433
pt_71,2019_10,26.948433
pt_72,2019_10,26.948433
pt_1,2019_11,44.839237
pt_2,2019_11,44.839237
pt_3,2019_11,44.839237
pt_4,2019_11,44.839237
pt_5,2019_11,44.839237
pt_6,2019_11,44.839237
pt_7,2019_11,44.839237
pt_8,2019_11,44.839237
pt_9,2019_11,44.839237
pt_10,2019_11,44.839237
pt_11,2019_11,44.839237
pt_12,2019_11,44.839237
pt_13,2019_11,44.839237
pt_14,2019_11,44.839237
pt_15,2019_11,44.839237
pt_16,2019_11,44.839237
pt_17,2019_11,44.839237
pt_18,2019_11,44.839237
pt_19,2019_11,44.839237
pt_20,2019_11,44.839237
pt_21,2019_11,44.839237
pt_22,2019_11,44.839237
pt_23,2019_11,44.839237
pt_24,2019_11,44.839237
pt_25,2019_11,44.839237
pt_26,2019_11,44.839237
pt_27,2019_11,44.839237
pt_28,2019_11,44.839237
pt_29,2019_11,44.839237
pt_30,2019_11,44.839237
pt_31,2019_11,44.839237
pt_32,2019_11,44.839237
pt_33,2019_11,44.839237
pt_34,2019_11,44.839237
pt_35,2019_11,44.839237
pt_36,2019_11,44.839237
pt_37,2019_11,44.839237
pt_38,2019_11,44.839237
pt_39,2019_11,44.839237
pt_40,2019_11,44.839237
pt_41,2019_11,44.839237
pt_42,2019_11,44.839237
pt_43,2019_11,44.839237
pt_44,2019_11,44.839237
pt_45,2019_11,44.839237
pt_46,2019_11,44.839237
pt_47,2019_11,44.839237
pt_48,2019_11,44.839237
pt_49,2019_11,44.839237
pt_50,2019_11,44.839237
pt_51,2019_11,44.839237
pt_52,2019_11,44.839237
pt_53,2019_11,44.839237
pt_54,2019_11,44.839237
pt_55,2019_11,44.839237
pt_56,2019_11,44.839237
pt_57,2019_11,44.839237
pt_58,2019_11,44.839237
pt_59,2019_11,44.839237
pt_60,2019_11,44.839237
pt_61,2019_11,44.839237
pt_62,2019_11,44.839237
pt_63,2019_11,44.839237
pt_64,2019_11,44.839237
pt_65,2019_11,44.839237
pt_66,2019_11,44.839237
pt_67,2019_11,44.839237
pt_68,2019_11,44.839237
pt_69,2019_11,44.839237
pt_70,2019_11,44.839237
pt_71,2019_11,44.839237
pt_72,2019_11,44.839237
pt_1,2019_12,37.634621
pt_2,2019_12,37.634621
pt_3,2019_12,37.634621
pt_4,2019_12,37.634621
pt_5,2019_12,37.634621
pt_6,2019_12,37.634621
pt_7,2019_12,37.634621
pt_8,2019_12,37.634621
pt_9,2019_12,37.634621
pt_10,2019_12,37.634621
pt_11,2019_12,37.634621
pt_12,2019_12,37.634621
pt_13,2019_12,37.634621
pt_14,2019_12,37.634621
pt_15,2019_12,37.634621
pt_16,2019_12,37.634621
pt_17,2019_12,37.634621
pt_18,2019_12,37.634621
pt_19,2019_12,37.634621
pt_20,2019_12,37.634621
pt_21,2019_12,37.634621
pt_22,2019_12,37.634621
pt_23,2019_12,37.634621
pt_24,2019_12,37.634621
pt_25,2019_12,37.634621
pt_26,2019_12,37.634621
pt_27,2019_12,37.634621
pt_28,2019_12,37.634621
pt_29,2019_12,37.634621
pt_30,2019_12,37.634621
pt_31,2019_12,37.634621
pt_32,2019_12,37.634621
pt_33,2019_12,37.634621
pt_34,2019_12,37.634621
pt_35,2019_12,37.634621
pt_36,2019_12,37.634621
pt_37,2019_12,37.634621
pt_38,2019_12,37.634621
pt_39,2019_12,37.634621
pt_40,2019_12,37.634621
pt_41,2019_12,37.634621
pt_42,2019_12,37.634621
pt_43,2019_12,37.634621
pt_44,2019_12,37.634621
pt_45,2019_12,37.634621
pt_46,2019_12,37.634621
pt_47,2019_12,37.634621
pt_48,2019_12,37.634621
pt_49,2019_12,37.634621
pt_50,2019_12,37.634621
pt_51,2019_12,37.634621
pt_52,2019_12,37.634621
pt_53,2019_12,37.634621
pt_54,2019_12,37.634621
pt_55,2019_12,37.634621
pt_56,2019_12,37.634621
pt_57,2019_12,37.634621
pt_58,2019_12,37.634621
pt_59,2019_12,37.634621
pt_60,2019_12,37.634621
pt_61,2019_12,37.634621
pt_62,2019_12,37.634621
pt_63,2019_12,37.634621
pt_64,2019_12,37.634621
pt_65,2019_12,37.634621
pt_66,2019_12,37.634621
pt_67,2019_12,37.634621
pt_68,2019_12,37.634621
pt_69,2019_12,37.634621
pt_70,2019_12,37.634621
pt_71,2019_12,37.634621
pt_72,2019_12,37.634621
pt_1,2020_01,42.500793
pt_2,2020_01,42.500793
pt_3,2020_01,42.500793
pt_4,2020_01,42.500793
pt_5,2020_01,42.500793
pt_6,2020_01,42.500793
pt_7,2020_01,42.500793
pt_8,2020_01,42.500793
pt_9,2020_01,42.500793
pt_10,2020_01,42.500793
pt_11,2020_01,42.500793
pt_12,2020_01,42.500793
pt_13,2020_01,42.500793
pt_14,2020_01,42.500793
pt_15,2020_01,42.500793
pt_16,2020_01,42.500793
pt_17,2020_01,42.500793
pt_18,2020_01,42.500793
pt_19,2020_01,42.500793
pt_20,2020_01,42.500793
pt_21,2020_01,42.500793
pt_22,2020_01,42.500793
pt_23,2020_01,42.500793
pt_24,2020_01,42.500793
pt_25,2020_01,42.500793
